név;város;ország;magasság;emelet;épült
Lahta Centr;Szentpétervár;Oroszország;462;87;2018
Keleti Torony;Moszkva;Oroszország;373,7;95;2016
Déli Torony;Moszkva;Oroszország;354,1;85;2015
Mercury City Tower;Moszkva;Oroszország;338,8;75;2013
The Shard;London;Anglia;309,6;87;2012
Eurasszija;Moszkva;Oroszország;308,9;72;2014
Moszkva Torony;Moszkva;Oroszország;301,6;76;2010
Skyland Istanbul 1;Isztambul;Törökország;293,1;65;2017
Skyland Istanbul 2;Isztambul;Törökország;293,1;65;2017
Metropol Istanbul;Isztambul;Törökország;280;59;2017
Naberezsnaja Torony;Moszkva;Oroszország;268,4;76;2007
Triumph Palace;Moszkva;Oroszország;264,1;57;2005
Sapphire of Istanbul;Isztambul;Törökország;261;54;2011
Commerzbank Tower;Frankfurt;Németország;258,7;56;1997
Fővárosi Torony;Moszkva;Oroszország;256,9;65;2010
Messeturm;Frankfurt;Németország;256,6;55;1990
Torre Caja Madrid;Madrid;Spanyolország;250;45;2007
Torre de Cristal;Madrid;Spanyolország;249,5;45;2007
Nyugati Torony;Moszkva;Oroszország;242,4;62;2007
Lomonoszov Egyetem;Moszkva;Oroszország;240;36;1953
Torre PwC;Madrid;Spanyolország;236;52;2008
Torre Sacyr Vallehermoso;Madrid;Spanyolország;236;52;2007
One Canada Square;London;Anglia;235,1;50;1991
Tour First;Párizs;Franciaország;231;50;2011
Garibaldi Torony;Milánó;Olaszország;231;32;2012
Heron Tower;London;Anglia;230;46;2010
Kultúra és Tudomány Palotája;Varsó;Lengyelország;231;43;1955
Torre Espacio;Madrid;Spanyolország;224;57;2008
DC Towers 1;Bécs;Ausztria;220;60;2014
Sky Tower;Wroclaw;Lengyelország;212;50;2012
Tour Montparnasse;Párizs;Franciaország;210;59;1972
Westendstrasse 1;Frankfurt;Németország;208;53;1993
Warsaw Trade Tower;Varsó;Lengyelország;208;43;1999
Millenium Torony;Bécs;Ausztria;202;51;1999
Maintower;Frankfurt;Németország;200;55,1999
Citigroup Centre;London;Anglia;199,5;45;2001
HSBC Tower;London;Anglia;199,5;45;2002
Ukrajna Szálló;Moszkva;Oroszország;198;34;1955
Turning Torso;Malmö;Svédország;190;57;2005
Sparrow Hills Tower II;Moszkva;188,2;49;2004
Gran Hotel Ball;Benidorm;Spanyolország;187;52;2002
Tour Total;Párizs;Franciaország;187;48;1995
Trianon;Frankfurt;Németország;186;45;1993
Tour T1;Párizs;Franciaország;185;36;2008
Tour Areva;Párizs;Franciaország;184;44;1974
Tower 42;London;Anglia;183;43;1980
Tour Granite;Párizs;Franciaország;183;36;2008
Isbank Tower 1;Isztambul;Törökország;181;52;2000
30 St Mary Axe;London;Anglia;179,8;41;2003
Tour Gan;Párizs;Franciaország;179;44;1974
Edelweiss;Moszkva;Oroszország;176;43;2003
Kotyelnyicseszkaja-rakparti lakóház;Moszkva;Oroszország;176;32;1952
Allye Parusa 2;Moszkva;Oroszország;175,6;48;2003
Avaz Twist Tower;Szarajevó;Bosznia-Hercegovina;172;40;2007
Oroszország Külügyminisztériuma;Moszkva;Oroszország;172;27;1953
Sisli Plaza;Isztambul;Törökország;170;46;2007
Beetham Tower;Manchester;Anglia;169;50;2006
Tekstillkent Plaza;Isztambul;Törökország;168;44;2000
Tour Alicante;Párizs;Franciaország;167;37;1995
Tour Chassagne;Párizs;Franciaország;167;37;1995
Silver Tower;Frankfurt;Németország;166;32;1978
Tour du Crédit Lyonnais;Lyon;Franciaország;165;42;1977
Tour EDF;Párizs;Franciaország;165;41;2001
Broadgate Tower;London;Anglia;164,3;35;2007
Intercontinental Warsaw;Varsó;Lengyelország;164;45;2003
Post Tower;Bonn; Németország;163;42;2002
Swissotel Krasznije Holmi;Moszkva;Oroszország;162;35;2002
Coeur Defense;Párizs;Franciaország;161;40;2001
Kudrinszkaja téri épület;Moszkva;Oroszország;160;22;1954
